//アドレス指定方法,,,,,,,,,,,,,,
// XY ---- X0　　　　直接I/O 先頭にアドレスタイプ(XorY)その後16進数でアドレス指定(桁数指定無し),,,,,,,,,,,,,,
// C0 ----- C01S00I00　C0C0-Link経由　先頭C0固定，その後ﾕﾆｯﾄ設定番号1桁，その後S固定，その後スレーブ番号16進数2桁，その後I(IN)orO(OUT)，その後アドレス16進数2桁,,,,,,,,,,,,,,
No.,IND1,TRN1,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,BAKE1,BAKE2,EEW1,EEW2,CVP1,IFB1
36,,,C06S01I06,C06S06I06,C06S0BI06,C06S10I06,,,C04S17I08,C04S23I08,,,,C04S08I1C
37,,,C06S01I07,C06S06I07,C06S0BI07,C06S10I07,,,C04S17I09,C04S23I09,,,,C04S08I1D
38,,,C06S01I08,C06S06I08,C06S0BI08,C06S10I08,,,C04S17I0C,C04S23I0C,,,,C04S08I1E
39,,,C06S01I09,C06S06I09,C06S0BI09,C06S10I09,,,C04S17I0D,C04S23I0D,,,,C04S08I1F
40,,,C06S01I0A,C06S06I0A,C06S0BI0A,C06S10I0A,,,C04S19I00,C04S25I00,,,,V1B0016
41,,,C06S01I0B,C06S06I0B,C06S0BI0B,C06S10I0B,,,C04S19I01,C04S25I01,,,,
42,,,C06S01I0C,C06S06I0C,C06S0BI0C,C06S10I0C,,,C04S19I04,C04S25I04,,,,
43,,,C06S01I0D,C06S06I0D,C06S0BI0D,C06S10I0D,,,C04S19I05,C04S25I05,,,,
44,,,C06S01I0E,C06S06I0E,C06S0BI0E,C06S10I0E,,,C04S19I08,C04S25I08,,,,
45,,,C06S01I0F,C06S06I0F,C06S0BI0F,C06S10I0F,,,C04S19I09,C04S25I09,,,,
46,,,C06S01I10,C06S06I10,C06S0BI10,C06S10I10,,,C04S19I0C,C04S25I0C,,,,
47,,,C06S01I11,C06S06I11,C06S0BI11,C06S10I11,,,C04S19I0D,C04S25I0D,,,,
48,,,C06S01I12,C06S06I12,C06S0BI12,C06S10I12,,,C04S1BI00,C04S27I00,,,,
49,,,C06S01I13,C06S06I13,C06S0BI13,C06S10I13,,,C04S1BI01,C04S27I01,,,,
50,,,C06S01I14,C06S06I14,C06S0BI14,C06S10I14,,,C04S1BI04,C04S27I04,,,,
51,,,C06S01I15,C06S06I15,C06S0BI15,C06S10I15,,,C04S1BI05,C04S27I05,,,,
52,,,C06S01I16,C06S06I16,C06S0BI16,C06S10I16,,,C04S1BI08,C04S27I08,,,,
53,,,C06S01I17,C06S06I17,C06S0BI17,C06S10I17,,,C04S1BI09,C04S27I09,,,,
54,,,C06S01I18,C06S06I18,C06S0BI18,C06S10I18,,,C04S1BI0C,C04S27I0C,,,,
55,,,C06S01I19,C06S06I19,C06S0BI19,C06S10I19,,,C04S1BI0D,C04S27I0D,,,,
56,,,C06S01I1A,C06S06I1A,C06S0BI1A,C06S10I1A,,,C04S1DI00,C04S29I00,,,,
57,,,C06S01I1B,C06S06I1B,C06S0BI1B,C06S10I1B,,,C04S1DI01,C04S29I01,,,,
58,,,C06S01I1C,C06S06I1C,C06S0BI1C,C06S10I1C,,,C04S1DI04,C04S29I04,,,,
59,,,C06S01I1D,C06S06I1D,C06S0BI1D,C06S10I1D,,,C04S1DI05,C04S29I05,,,,
60,,,C06S01I1E,C06S06I1E,C06S0BI1E,C06S10I1E,,,C04S1DI08,C04S29I08,,,,
61,C04S02O00,,C06S01I1F,C06S06I1F,C06S0BI1F,C06S10I1F,,,C04S1DI09,C04S29I09,,,,
62,C04S02O02,,C06S02I00,C06S07I00,C06S0C0I00,C06S11I00,,,C04S1DI0C,C04S29I0C,,,,
63,C04S02O04,,C06S02I01,C06S07I01,C06S0CI01,C06S11I01,,,C04S1DI0D,C04S29I0D,,,,
64,C04S02O06,,C06S02I02,C06S07I02,C06S0CI02,C06S11I02,,,C04S17I10,C04S23I10,,,,C04S09O10
65,C04S02O01,,C06S02I03,C06S07I03,C06S0CI03,C06S11I03,,,C04S17I11,C04S23I11,,,,C04S09O11
66,C04S02O03,,C06S02I04,C06S07I04,C06S0CI04,C06S11I04,,,C04S17I12,C04S23I12,,,,C04S09O12
67,C04S02O05,,C06S02I05,C06S07I05,C06S0CI05,C06S11I05,,,C04S19I10,C04S25I10,,,,C04S09O13
68,C04S02O07,,C06S02I06,C06S07I06,C06S0CI06,C06S11I06,,,C04S19I11,C04S25I11,,,,C04S09O14
69,C04S02O08,,C06S02I07,C06S07I07,C06S0CI07,C06S11I07,,,C04S19I12,C04S25I12,,,,C04S09O15
70,C04S02O09,,C06S02I08,C06S07I08,C06S0CI08,C06S11I08,,,C04S1BI10,C04S27I10,,,,C04S09O16
71,,,C06S02I09,C06S07I09,C06S0CI09,C06S11I09,,,C04S1BI11,C04S27I11,,,,C04S09O17
72,,,C06S02I0A,C06S07I0A,C06S0CI0A,C06S11I0A,,,C04S1BI12,C04S27I12,,,,
73,,,C06S02I0B,C06S07I0B,C06S0CI0B,C06S11I0B,,,C04S1DI10,C04S29I10,,,,
74,,,C06S02I0C,C06S07I0C,C06S0CI0C,C06S11I0C,,,C04S1DI11,C04S29I11,,,,
75,,,C06S02I0D,C06S07I0D,C06S0CI0D,C06S11I0D,,,C04S1DI12,C04S29I12,,,,
76,,,C06S02I0E,C06S07I0E,C06S0CI0E,C06S11I0E,,,C04S17I13,C04S23I13,,,,
77,,,C06S02I0F,C06S07I0F,C06S0CI0F,C06S11I0F,,,C04S19I13,C04S25I13,,,,
78,,,C06S02I10,C06S07I10,C06S0CI10,C06S11I10,,,C04S1BI13,C04S27I13,,,,
79,,,C06S02I11,C06S07I11,C06S0CI11,C06S11I11,,,C04S1DI13,C04S29I13,,,,
80,,,C06S02I12,C06S07I12,C06S0CI12,C06S11I12,,,C04S1FI01,C04S2BI01,,,,
81,,,C06S02I13,C06S07I13,C06S0CI13,C06S11I13,,,C04S1FI02,C04S2BI02,,,,
82,,,C06S02I14,C06S07I14,C06S0CI14,C06S11I14,,,C04S1FI03,C04S2BI03,,,,
83,,,C06S02I15,C06S07I15,C06S0CI15,C06S11I15,,,C04S1FI04,C04S2BI04,,,,
84,,,C06S02I16,C06S07I16,C06S0CI16,C06S11I16,,,C04S1FI05,C04S2BI05,,,,
85,,,C06S02I17,C06S07I17,C06S0CI17,C06S11I17,,,C04S1FI06,C04S2BI06,,,,
86,,,C06S02I18,C06S07I18,C06S0CI18,C06S11I18,,,C04S1FI07,C04S2BI07,,,,
87,,,C06S02I19,C06S07I19,C06S0CI19,C06S11I19,,,C04S1FI08,C04S2BI08,,,,
88,,,C06S02I1A,C06S07I1A,C06S0CI1A,C06S11I1A,,,C04S1FI09,C04S2BI09,,,,
89,,,C06S02I1B,C06S07I1B,C06S0CI1B,C06S11I1B,,,C04S1FI0A,C04S2BI0A,,,,
90,,,C06S02I1C,C06S07I1C,C06S0CI1C,C06S11I1C,,,C04S1FI0B,C04S2BI0B,,,,
91,,,C06S02I1D,C06S07I1D,C06S0CI1D,C06S11I1D,,,C04S1FI0C,C04S2BI0C,,,,
92,,,C06S02I1E,C06S07I1E,C06S0CI1E,C06S11I1E,,,,,,,,
93,,,C06S02I1F,C06S07I1F,C06S0CI1F,C06S11I1F,,,,,,,,
94,,,C06S03O00,C06S08O00,C06S0DO00,C06S12O00,,,,,,,,
95,,,C06S03O01,C06S08O01,C06S0DO01,C06S12O01,,,,,C04S0CI15,C04S0DI15,,
96,,,C06S03O02,C06S08O02,C06S0DO02,C06S12O02,,,C04S17I02,C04S23I02,,,,
97,,,C06S03O03,C06S08O03,C06S0DO03,C06S12O03,,,C04S17I03,C04S23I03,,,,
98,,,C06S03O04,C06S08O04,C06S0DO04,C06S12O04,,,C04S17I06,C04S23I06,,,,
99,,,C06S03O05,C06S08O05,C06S0DO05,C06S12O05,,,C04S17I07,C04S23I07,,,,
100,,,C06S03O06,C06S08O06,C06S0DO06,C06S12O06,,,C04S17I0A,C04S23I0A,,,,
101,,,C06S03O07,C06S08O07,C06S0DO07,C06S12O07,,,C04S17I0B,C04S23I0B,,,,
102,,,C06S03O08,C06S08O08,C06S0DO08,C06S12O08,,,C04S17I0E,C04S23I0E,,,,
103,,,C06S03O09,C06S08O09,C06S0DO09,C06S12O09,,,C04S17I0F,C04S23I0F,,,,
104,,,C06S03O0A,C06S08O0A,C06S0DO0A,C06S12O0A,,,C04S19I02,C04S25I02,,,,
105,,,C06S03O0B,C06S08O0B,C06S0DO0B,C06S12O0B,,,C04S19I03,C04S25I03,,,,
106,,,C06S03O0C,C06S08O0C,C06S0DO0C,C06S12O0C,,,C04S19I06,C04S25I06,,,,
107,,,C06S03O0D,C06S08O0D,C06S0DO0D,C06S12O0D,,,C04S19I07,C04S25I07,,,,
108,,,C06S03O0E,C06S08O0E,C06S0DO0E,C06S12O0E,,,C04S19I0A,C04S25I0A,,,,
109,,,C06S03O0F,C06S08O0F,C06S0DO0F,C06S12O0F,,,C04S19I0B,C04S25I0B,,,,
110,,,C06S03O10,C06S08O10,C06S0DO10,C06S12O10,,,C04S19I0E,C04S25I0E,,,,
